rowid,SiteName,Province_y,Ecoregion,Type,Latitude,Longitude,Year,Date,Phylum,Class,Order,Family,Genus,Species,Count,EPT_index,EPT_to_Total_Ratio,EPT_Class,SamplingDevice,StreamOrder,Velocity-Avg,Depth-Avg,General-Conductivity,Chl-a,General-DO,General-TempWater,General-Turbidity,General-pH,Nitrogen-TN,Phosphorus-TP,As,Se
0,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Stempellinella,,20,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
1,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,,270,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
2,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,,20,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
3,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Parakiefferiella,,890,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
4,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Pentaneura,,10,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
5,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella xena,10,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
6,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,Phaenopsectra,,10,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
7,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Arthropoda,Insecta,Diptera,Chironomidae,,,10,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
8,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Annelida,Clitellata,Tubificida,Naididae,Rhyacodrilus,,160,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
9,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Annelida,Clitellata,Tubificida,Naididae,Pristina,,20,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
